arrival rate,mean service time,random seed,,,arrival rate,mean service time,random seed,,,,,arrival rate,mean service time,model values,correlation
0.005,10.26321,5259140,,,0.005,10.26321,5259140,,0.005,10.2630161,,0.005,10.2630161,10.26315789,0.9999998891351370
0.015,10.882994,5259140,,,0.005,10.263419,400137271,,0.015,10.8821629,,0.015,10.8821629,10.88235294,
0.025,11.668134,5259140,,,0.005,10.262991,124125,,0.025,11.666613,,0.025,11.666613,11.66666667,
0.035,12.693893,5259140,,,0.005,10.26294,4863905,,0.035,12.6923699,,0.035,12.6923699,12.69230769,
0.045,14.093676,5259140,,,0.005,10.262885,1946482,,0.045,14.091163,,0.045,14.091163,14.09090909,
0.055,16.11665,5259140,,,0.005,10.26301,73449993,,0.055,16.1121989,,0.055,16.1121989,16.11111111,
0.065,19.300901,5259140,,,0.005,10.262881,113513516,,0.065,19.2884893,,0.065,19.2884893,19.28571429,
0.075,25.020947,5259140,,,0.005,10.262769,84593432,,0.075,25.0023223,,0.075,25.0023223,25,
0.085,38.35902,5259140,,,0.005,10.26325,11552266,,0.085,38.334237,,0.085,38.334237,38.33333333,
0.095,104.483032,5259140,,,0.005,10.262806,34578944,,0.095,105.1516326,,0.095,105.1516326,105,
0.005,10.263419,400137271,,,0.015,10.882994,5259140,,,,,,,,
0.015,10.883382,400137271,,,0.015,10.883382,400137271,,,,,,,,
0.025,11.667898,400137271,,,0.015,10.88206,124125,,,,,,,,
0.035,12.694215,400137271,,,0.015,10.881988,4863905,,,,,,,,
0.045,14.095436,400137271,,,0.015,10.881623,1946482,,,,,,,,
0.055,16.120261,400137271,,,0.015,10.882499,73449993,,,,,,,,
0.065,19.302736,400137271,,,0.015,10.881316,113513516,,,,,,,,
0.075,25.02291,400137271,,,0.015,10.881514,84593432,,,,,,,,
0.085,38.358463,400137271,,,0.015,10.88297,11552266,,,,,,,,
0.095,105.630895,400137271,,,0.015,10.881283,34578944,,,,,,,,
0.005,10.262991,124125,,,0.025,11.668134,5259140,,,,,,,,
0.015,10.88206,124125,,,0.025,11.667898,400137271,,,,,,,,
0.025,11.666353,124125,,,0.025,11.666353,124125,,,,,,,,
0.035,12.693184,124125,,,0.025,11.666115,4863905,,,,,,,,
0.045,14.093402,124125,,,0.025,11.666128,1946482,,,,,,,,
0.055,16.116261,124125,,,0.025,11.667119,73449993,,,,,,,,
0.065,19.293921,124125,,,0.025,11.665365,113513516,,,,,,,,
0.075,25.007514,124125,,,0.025,11.666139,84593432,,,,,,,,
0.085,38.333843,124125,,,0.025,11.667474,11552266,,,,,,,,
0.095,105.253244,124125,,,0.025,11.665405,34578944,,,,,,,,
0.005,10.26294,4863905,,,0.035,12.693893,5259140,,,,,,,,
0.015,10.881988,4863905,,,0.035,12.694215,400137271,,,,,,,,
0.025,11.666115,4863905,,,0.035,12.693184,124125,,,,,,,,
0.035,12.691347,4863905,,,0.035,12.691347,4863905,,,,,,,,
0.045,14.088875,4863905,,,0.035,12.692295,1946482,,,,,,,,
0.055,16.108001,4863905,,,0.035,12.692916,73449993,,,,,,,,
0.065,19.278559,4863905,,,0.035,12.69007,113513516,,,,,,,,
0.075,24.97699,4863905,,,0.035,12.692875,84593432,,,,,,,,
0.085,38.270771,4863905,,,0.035,12.692639,11552266,,,,,,,,
0.095,104.833254,4863905,,,0.035,12.690265,34578944,,,,,,,,
0.005,10.262885,1946482,,,0.045,14.093676,5259140,,,,,,,,
0.015,10.881623,1946482,,,0.045,14.095436,400137271,,,,,,,,
0.025,11.666128,1946482,,,0.045,14.093402,124125,,,,,,,,
0.035,12.692295,1946482,,,0.045,14.088875,4863905,,,,,,,,
0.045,14.090992,1946482,,,0.045,14.090992,1946482,,,,,,,,
0.055,16.110627,1946482,,,0.045,14.091624,73449993,,,,,,,,
0.065,19.284307,1946482,,,0.045,14.087382,113513516,,,,,,,,
0.075,24.999669,1946482,,,0.045,14.092228,84593432,,,,,,,,
0.085,38.329979,1946482,,,0.045,14.090435,11552266,,,,,,,,
0.095,104.978166,1946482,,,0.045,14.08758,34578944,,,,,,,,
0.005,10.26301,73449993,,,0.055,16.11665,5259140,,,,,,,,
0.015,10.882499,73449993,,,0.055,16.120261,400137271,,,,,,,,
0.025,11.667119,73449993,,,0.055,16.116261,124125,,,,,,,,
0.035,12.692916,73449993,,,0.055,16.108001,4863905,,,,,,,,
0.045,14.091624,73449993,,,0.055,16.110627,1946482,,,,,,,,
0.055,16.112469,73449993,,,0.055,16.112469,73449993,,,,,,,,
0.065,19.285934,73449993,,,0.055,16.106762,113513516,,,,,,,,
0.075,24.99927,73449993,,,0.055,16.112466,84593432,,,,,,,,
0.085,38.364151,73449993,,,0.055,16.111925,11552266,,,,,,,,
0.095,105.809409,73449993,,,0.055,16.106567,34578944,,,,,,626989.9,625000,0.999999951
0.005,10.262881,113513516,,,0.065,19.300901,5259140,,,,,,676885,675000,
0.015,10.881316,113513516,,,0.065,19.302736,400137271,,,,,,726724.1,725000,
0.025,11.665365,113513516,,,0.065,19.293921,124125,,,,,,776551,775000,
0.035,12.69007,113513516,,,0.065,19.278559,4863905,,,,,,826384.3,825000,
0.045,14.087382,113513516,,,0.065,19.284307,1946482,,,,,,876252.3,875000,
0.055,16.106762,113513516,,,0.065,19.285934,73449993,,,,,,926131.6,925000,
0.065,19.282664,113513516,,,0.065,19.282664,113513516,,,,,,976026.4,975000,
0.075,24.996776,113513516,,,0.065,19.286512,84593432,,,,,,1025939,1025000,
0.085,38.309869,113513516,,,0.065,19.289379,11552266,,,,,,1075865,1075000,
0.095,104.930784,113513516,,,0.065,19.27998,34578944,,,,,,,,
0.005,10.262769,84593432,,,0.075,25.020947,5259140,,,,,,,,
0.015,10.881514,84593432,,,0.075,25.02291,400137271,,,,,,,,
0.025,11.666139,84593432,,,0.075,25.007514,124125,,,,,,,,
0.035,12.692875,84593432,,,0.075,24.97699,4863905,,,,,,,,
0.045,14.092228,84593432,,,0.075,24.999669,1946482,,,,,,,,
0.055,16.112466,84593432,,,0.075,24.99927,73449993,,,,,,,,
0.065,19.286512,84593432,,,0.075,24.996776,113513516,,,,,,,,
0.075,24.999157,84593432,,,0.075,24.999157,84593432,,,,,,,,
0.085,38.322338,84593432,,,0.075,25.014616,11552266,,,,,,,,
0.095,105.024328,84593432,,,0.075,24.985374,34578944,,,,,,,,
0.005,10.26325,11552266,,,0.085,38.35902,5259140,,,,,,,,
0.015,10.88297,11552266,,,0.085,38.358463,400137271,,,,,,,,
0.025,11.667474,11552266,,,0.085,38.333843,124125,,,,,,,,
0.035,12.692639,11552266,,,0.085,38.270771,4863905,,,,,,,,
0.045,14.090435,11552266,,,0.085,38.329979,1946482,,,,,,,,
0.055,16.111925,11552266,,,0.085,38.364151,73449993,,,,,,,,
0.065,19.289379,11552266,,,0.085,38.309869,113513516,,,,,,,,
0.075,25.014616,11552266,,,0.085,38.322338,84593432,,,,,,,,
0.085,38.415986,11552266,,,0.085,38.415986,11552266,,,,,,,,
0.095,105.675779,11552266,,,0.085,38.27795,34578944,,,,,,,,
0.005,10.262806,34578944,,,0.095,104.483032,5259140,,,,,,,,
0.015,10.881283,34578944,,,0.095,105.630895,400137271,,,,,,,,
0.025,11.665405,34578944,,,0.095,105.253244,124125,,,,,,,,
0.035,12.690265,34578944,,,0.095,104.833254,4863905,,,,,,,,
0.045,14.08758,34578944,,,0.095,104.978166,1946482,,,,,,,,
0.055,16.106567,34578944,,,0.095,105.809409,73449993,,,,,,,,
0.065,19.27998,34578944,,,0.095,104.930784,113513516,,,,,,,,
0.075,24.985374,34578944,,,0.095,105.024328,84593432,,,,,,,,
0.085,38.27795,34578944,,,0.095,105.675779,11552266,,,,,,,,
0.095,104.897435,34578944,,,0.095,104.897435,34578944,,,,,,,,
