Seed,t,"(0.10,1)","(0.23,1)","(0.36,1)","(0.49,1)","(0.61,1)","(0.74,1)","(0.87,1)","(1.00,1)"
400137271,1,0.999987659,0.992178716,0.940964683,0.831523372,0.672150987,0.474500148,0.248107834,0
400137271,1.473684211,0.999999826,0.998418831,0.974833738,0.897971821,0.75649839,0.553971747,0.298861752,0
400137271,1.947368421,0.999999998,0.999680347,0.989271833,0.938212501,0.819145302,0.621424817,0.3461897,0
400137271,2.421052632,1,0.999935378,0.995426672,0.962581955,0.865674721,0.678676927,0.390322936,0
400137271,2.894736842,1,0.999986936,0.998050429,0.977339913,0.900233277,0.727270772,0.431477108,0
400137271,3.368421053,1,0.999997359,0.999168914,0.986277222,0.925900775,0.768515746,0.469853308,0
400137271,3.842105263,1,0.999999466,0.999645715,0.991689589,0.944964664,0.803523223,0.505639053,0
400137271,4.315789474,1,0.999999892,0.999848971,0.994967277,0.959123888,0.833236502,0.539009204,0
400137271,4.789473684,1,0.999999978,0.999935618,0.996952221,0.969640296,0.858456227,0.570126817,0
400137271,5.263157895,1,0.999999996,0.999972554,0.998154288,0.977451093,0.879861961,0.599143941,0
400137271,5.736842105,1,0.999999999,0.9999883,0.998882251,0.983252366,0.898030495,0.626202363,0
400137271,6.210526316,1,1,0.999995013,0.999323099,0.987561116,0.913451393,0.651434298,0
400137271,6.684210526,1,1,0.999997874,0.999590074,0.990761332,0.926540181,0.674963038,0
400137271,7.157894737,1,1,0.999999094,0.999751752,0.993138212,0.937649546,0.69690355,0
400137271,7.631578947,1,1,0.999999614,0.999849663,0.994903579,0.947078835,0.717363043,0
400137271,8.105263158,1,1,0.999999835,0.999908957,0.996214762,0.955082129,0.736441487,0
400137271,8.578947368,1,1,0.99999993,0.999944865,0.997188609,0.96187508,0.754232107,0
400137271,9.052631579,1,1,0.99999997,0.999966611,0.99791191,0.967640731,0.770821831,0
400137271,9.52631579,1,1,0.999999987,0.99997978,0.998449124,0.972534439,0.786291722,0
400137271,10,1,1,0.999999995,0.999987755,0.998848126,0.976688069,0.800717371,0
400137271,1,0.999984,0.992216,0.941229,0.831988,0.673067,0.475466,0.247677,0.000395
400137271,1.473684211,1,0.998431,0.974984,0.898185,0.757637,0.554762,0.298499,0.000469
400137271,1.947368421,1,0.99965,0.989493,0.938343,0.819641,0.622078,0.346286,0.000564
400137271,2.421052632,1,0.999922,0.995632,0.962625,0.866022,0.678969,0.390603,0.000661
400137271,2.894736842,1,0.999978,0.99815,0.977382,0.90058,0.727636,0.431798,0.000777
400137271,3.368421053,1,0.999999,0.999245,0.986215,0.926041,0.768543,0.470428,0.000878
400137271,3.842105263,1,1,0.999668,0.991546,0.945303,0.803548,0.50606,0.000977
400137271,4.315789474,1,1,0.999859,0.994853,0.95917,0.832989,0.539462,0.001067
400137271,4.789473684,1,1,0.999947,0.996845,0.969478,0.857981,0.570608,0.001132
400137271,5.263157895,1,1,0.999973,0.998,0.977124,0.879571,0.599628,0.001218
400137271,5.736842105,1,1,0.99999,0.998753,0.982912,0.897765,0.626596,0.001293
400137271,6.210526316,1,1,0.999997,0.999243,0.987211,0.913073,0.651846,0.001392
400137271,6.684210526,1,1,1,0.999553,0.990499,0.926267,0.675276,0.001467
400137271,7.157894737,1,1,1,0.999742,0.992931,0.93755,0.697126,0.001562
400137271,7.631578947,1,1,1,0.999853,0.994687,0.947107,0.71761,0.001635
400137271,8.105263158,1,1,1,0.999921,0.995999,0.955196,0.736717,0.001707
400137271,8.578947368,1,1,1,0.999957,0.99703,0.961897,0.754367,0.001776
400137271,9.052631579,1,1,1,0.999974,0.99776,0.96767,0.770871,0.001845
400137271,9.52631579,1,1,1,0.999986,0.998305,0.972476,0.786304,0.001895
400137271,10,1,1,1,0.999995,0.998751,0.976682,0.800795,0.001958
